title,company,location,link,source,scraped_at
,AMS Arbeitsmarkt-Services AG,"Pratteln, Basel-Landschaft",,careerjet.ch,2026-02-13 15:31:31
,SwissPromed,Zürich,,careerjet.ch,2026-02-13 15:31:31
,Drees & Sommer,Lausanne,,careerjet.ch,2026-02-13 15:31:31
,KASAG process GmbH,"Bleienbach, Bern",,careerjet.ch,2026-02-13 15:31:31
,Ad Terra Consultancy SA,Freiburg,,careerjet.ch,2026-02-13 15:31:31
,AMS Arbeitsmarkt-Services AG,"Pratteln, Basel-Landschaft",,careerjet.ch,2026-02-13 15:31:37
,SwissPromed,Zürich,,careerjet.ch,2026-02-13 15:31:37
,Drees & Sommer,Lausanne,,careerjet.ch,2026-02-13 15:31:37
,KASAG process GmbH,"Bleienbach, Bern",,careerjet.ch,2026-02-13 15:31:37
,Ad Terra Consultancy SA,Freiburg,,careerjet.ch,2026-02-13 15:31:37
,AMS Arbeitsmarkt-Services AG,"Pratteln, Basel-Landschaft",,careerjet.ch,2026-02-13 15:31:42
,SwissPromed,Zürich,,careerjet.ch,2026-02-13 15:31:42
,Drees & Sommer,Lausanne,,careerjet.ch,2026-02-13 15:31:42
,KASAG process GmbH,"Bleienbach, Bern",,careerjet.ch,2026-02-13 15:31:42
,Ad Terra Consultancy SA,Freiburg,,careerjet.ch,2026-02-13 15:31:42
